test_type,gender,age_min,age_max,run_min,run_max,score
run_km,female,25,27,13:11,13:20,39
run_km,female,25,27,13:21,13:30,38
run_km,female,25,27,13:31,13:40,38
run_km,female,25,27,13:41,13:50,38
run_km,female,25,27,13:51,14:00,37
run_km,female,25,27,14:01,14:10,37
run_km,female,25,27,14:11,14:20,37
run_km,female,25,27,14:21,14:30,36
run_km,female,25,27,14:31,14:40,36
run_km,female,25,27,14:41,14:50,36
run_km,female,25,27,14:51,15:00,35
run_km,female,25,27,15:01,15:10,35
run_km,female,25,27,15:11,15:20,35
run_km,female,25,27,15:21,15:30,34
run_km,female,25,27,15:31,15:40,34
run_km,female,25,27,15:41,15:50,33
run_km,female,25,27,15:51,16:00,33
run_km,female,25,27,16:01,16:10,32
run_km,female,25,27,16:11,16:20,32
run_km,female,25,27,16:21,16:30,31
run_km,female,25,27,16:31,16:40,31
run_km,female,25,27,16:41,16:50,30
run_km,female,25,27,16:51,17:00,30
run_km,female,25,27,17:01,17:10,29
run_km,female,25,27,17:11,17:20,28
run_km,female,25,27,17:21,17:30,27
run_km,female,25,27,17:31,17:40,26
run_km,female,25,27,17:41,17:50,25
run_km,female,25,27,17:51,18:00,24
run_km,female,25,27,18:01,18:10,23
run_km,female,25,27,18:11,18:20,22
run_km,female,25,27,18:21,18:30,21
run_km,female,25,27,18:31,18:40,20
run_km,female,25,27,18:41,18:50,18
run_km,female,25,27,18:51,19:00,16
run_km,female,25,27,19:01,19:10,14
run_km,female,25,27,19:11,19:20,12
run_km,female,25,27,19:21,19:30,10
run_km,female,25,27,19:31,19:40,8
run_km,female,25,27,19:41,19:50,6
run_km,female,25,27,19:51,20:00,4
run_km,female,25,27,20:01,20:10,2
run_km,female,25,27,20:11,20:20,1
run_km,female,25,27,20:21,20:30,0
run_km,female,25,27,20:31,20:40,0
run_km,female,25,27,20:41,20:50,0
run_km,female,25,27,20:51,21:00,0
run_km,female,25,27,21:01,21:10,0
run_km,female,25,27,21:11,21:20,0
run_km,female,25,27,21:21,21:30,0
run_km,female,25,27,21:31,21:40,0
run_km,male,28,30,0:00,10:00,45
run_km,male,28,30,10:01,10:10,44
run_km,male,28,30,10:11,10:20,43
run_km,male,28,30,10:21,10:30,42
run_km,male,28,30,10:31,10:40,41
run_km,male,28,30,10:41,10:50,40
run_km,male,28,30,10:51,11:00,39
run_km,male,28,30,11:01,11:10,38
run_km,male,28,30,11:11,11:20,38
run_km,male,28,30,11:21,11:30,37
run_km,male,28,30,11:31,11:40,37
run_km,male,28,30,11:41,11:50,36
run_km,male,28,30,11:51,12:00,36
run_km,male,28,30,12:01,12:10,35
run_km,male,28,30,12:11,12:20,35
run_km,male,28,30,12:21,12:30,34
run_km,male,28,30,12:31,12:40,33
run_km,male,28,30,12:41,12:50,32
run_km,male,28,30,12:51,13:00,31
run_km,male,28,30,13:01,13:10,30
run_km,male,28,30,13:11,13:20,29
run_km,male,28,30,13:21,13:30,28
run_km,male,28,30,13:31,13:40,27
run_km,male,28,30,13:41,13:50,26
run_km,male,28,30,13:51,14:00,25
run_km,male,28,30,14:01,14:10,24
run_km,male,28,30,14:11,14:20,23
run_km,male,28,30,14:21,14:30,22
run_km,male,28,30,14:31,14:40,21
run_km,male,28,30,14:41,14:50,20
run_km,male,28,30,14:51,15:00,19
run_km,male,28,30,15:01,15:10,18
run_km,male,28,30,15:11,15:20,16
run_km,male,28,30,15:21,15:30,14
run_km,male,28,30,15:31,15:40,12
run_km,male,28,30,15:41,15:50,10
run_km,male,28,30,15:51,16:00,8
run_km,male,28,30,16:01,16:10,6
run_km,male,28,30,16:11,16:20,4
run_km,male,28,30,16:21,16:30,2
run_km,male,28,30,16:31,16:40,1
run_km,male,28,30,16:41,16:50,0
run_km,male,28,30,16:51,17:00,0
run_km,male,28,30,17:01,17:10,0
run_km,male,28,30,17:11,17:20,0
run_km,male,28,30,17:21,17:30,0
run_km,male,28,30,17:31,17:40,0
run_km,male,28,30,17:41,17:50,0
run_km,male,28,30,17:51,18:00,0
run_km,male,28,30,18:01,18:10,0
run_km,male,28,30,18:11,18:20,0
run_km,male,28,30,0:00,8:30,50
run_km,male,28,30,8:31,8:40,50
run_km,male,28,30,8:41,8:50,50
run_km,male,28,30,8:51,9:00,50
run_km,male,28,30,9:01,9:10,50
run_km,male,28,30,9:11,9:20,49
run_km,male,28,30,9:21,9:30,48
run_km,male,28,30,9:31,9:40,47
run_km,male,28,30,9:41,9:50,46
run_km,male,31,33,0:00,10:00,46
run_km,male,31,33,10:01,10:10,45
run_km,male,31,33,10:11,10:20,44
run_km,male,31,33,10:21,10:30,43
run_km,male,31,33,10:31,10:40,42
run_km,male,31,33,10:41,10:50,41
run_km,male,31,33,10:51,11:00,40
run_km,male,31,33,11:01,11:10,39
run_km,male,31,33,11:11,11:20,38
run_km,male,31,33,11:21,11:30,38
run_km,male,31,33,11:31,11:40,37
run_km,male,31,33,11:41,11:50,37
run_km,male,31,33,11:51,12:00,36
run_km,male,31,33,12:01,12:10,36
run_km,male,31,33,12:11,12:20,35
run_km,male,31,33,12:21,12:30,35
run_km,male,31,33,12:31,12:40,34
run_km,male,31,33,12:41,12:50,33
run_km,male,31,33,12:51,13:00,32
run_km,male,31,33,13:01,13:10,31
run_km,male,31,33,13:11,13:20,30
run_km,male,31,33,13:21,13:30,29
run_km,male,31,33,13:31,13:40,28
run_km,male,31,33,13:41,13:50,27
run_km,male,31,33,13:51,14:00,26
run_km,male,31,33,14:01,14:10,25
run_km,male,31,33,14:11,14:20,24
run_km,male,31,33,14:21,14:30,23
run_km,male,31,33,14:31,14:40,22
run_km,male,31,33,14:41,14:50,21
run_km,male,31,33,14:51,15:00,20
run_km,male,31,33,15:01,15:10,19
run_km,male,31,33,15:11,15:20,18
run_km,male,31,33,15:21,15:30,16
run_km,male,31,33,15:31,15:40,14
run_km,male,31,33,15:41,15:50,12
run_km,male,31,33,15:51,16:00,10
run_km,male,31,33,16:01,16:10,8
run_km,male,31,33,16:11,16:20,6
run_km,male,31,33,16:21,16:30,4
run_km,male,31,33,16:31,16:40,2
run_km,male,31,33,16:41,16:50,1
run_km,male,31,33,16:51,17:00,0
run_km,male,31,33,17:01,17:10,0
run_km,male,31,33,17:11,17:20,0
run_km,male,31,33,17:21,17:30,0
run_km,male,31,33,17:31,17:40,0
run_km,male,31,33,17:41,17:50,0
run_km,male,31,33,17:51,18:00,0
run_km,male,31,33,18:01,18:10,0
run_km,male,31,33,18:11,18:20,0
run_km,male,31,33,0:00,8:30,50
run_km,male,31,33,8:31,8:40,50
run_km,male,31,33,8:41,8:50,50
run_km,male,31,33,8:51,9:00,50
run_km,male,31,33,9:01,9:10,50
run_km,male,31,33,9:11,9:20,50
run_km,male,31,33,9:21,9:30,49
run_km,male,31,33,9:31,9:40,48
run_km,male,31,33,9:41,9:50,47
run_km,male,34,36,0:00,10:00,47
run_km,male,34,36,10:01,10:10,46
